popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
59,236013,False,0.627,0.91,10,-4.629,0,0.052,0.018,0.0,0.369,0.751,97.867,4,industrial
24,242819,True,0.588,0.915,1,-3.904,1,0.642,0.826,0.0,0.779,0.426,113.393,3,comedy
40,289173,False,0.486,0.825,9,-10.004,1,0.147,0.326,0.0,0.369,0.829,135.736,4,mpb
28,288533,False,0.809,0.713,0,-5.495,1,0.0397,0.132,0.0,0.201,0.961,87.738,4,salsa
60,159877,False,0.496,0.174,1,-11.908,1,0.0372,0.907,0.0721,0.114,0.0903,137.993,4,ambient
59,191489,False,0.774,0.783,0,-4.247,1,0.0857,0.0173,0.0,0.19,0.206,93.959,4,pop-film
0,245215,False,0.0691,0.667,1,-22.244,1,0.196,0.0136,0.919,0.44,0.0264,79.184,4,sleep
57,183435,False,0.672,0.388,10,-9.31,1,0.0324,0.851,6.16e-06,0.22,0.468,131.938,4,electro
72,183428,False,0.492,0.224,5,-8.098,1,0.0493,0.91,0.0,0.142,0.424,93.039,4,songwriter
19,177920,True,0.625,0.996,4,-2.618,1,0.482,1.67e-05,0.612,0.283,0.0392,114.935,3,happy
0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,rock-n-roll
52,101151,False,0.744,0.158,10,-11.529,0,0.043,0.231,0.852,0.104,0.112,140.19,4,anime
0,177720,True,0.445,0.468,5,-8.106,0,0.0702,0.524,0.000849,0.112,0.444,87.803,4,soul
20,366409,False,0.607,0.415,0,-8.233,0,0.0507,0.94,0.0128,0.0945,0.223,93.083,4,guitar
0,209146,True,0.776,0.629,0,-6.09,1,0.0505,0.0268,0.0,0.114,0.104,97.066,4,latino
28,318413,False,0.484,0.258,9,-12.432,1,0.0317,0.708,6.45e-06,0.699,0.167,129.72,3,bluegrass
56,141613,False,0.647,0.487,11,-10.119,0,0.0689,0.00101,0.285,0.138,0.222,123.444,1,british
64,173373,False,0.524,0.914,6,-2.104,1,0.12,0.179,0.0,0.17,0.63,89.015,4,j-pop
55,254130,False,0.643,0.913,7,-5.744,0,0.049,0.0212,0.0254,0.376,0.0441,128.01,4,disco
68,198130,True,0.797,0.782,3,-4.658,0,0.0504,0.00335,0.0,0.138,0.503,99.999,4,hip-hop
20,87200,False,0.368,0.0125,0,-31.201,0,0.0386,0.964,0.856,0.112,0.067,80.787,4,disney
10,446053,False,0.653,0.882,4,-11.416,0,0.0417,0.00021,0.911,0.109,0.401,126.267,4,detroit-techno
37,190333,False,0.578,0.534,2,-9.896,1,0.0385,0.128,0.0,0.259,0.76,169.133,4,samba
65,476266,False,0.334,0.982,4,-2.293,0,0.0619,9.11e-05,0.149,0.106,0.501,126.883,4,hard-rock
54,188041,True,0.816,0.621,0,-6.352,1,0.181,0.18,0.0,0.085,0.403,97.015,4,j-dance
4,234560,False,0.813,0.786,6,-4.133,0,0.154,0.107,0.0,0.238,0.828,175.908,4,reggaeton
64,200437,False,0.534,0.159,7,-14.304,1,0.0288,0.917,0.0,0.109,0.184,80.047,4,singer-songwriter
44,252026,False,0.402,0.95,4,-1.823,0,0.0849,0.0588,0.0,0.97,0.558,166.01,4,forro
79,195706,False,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,4,house
49,258440,False,0.466,0.575,1,-8.053,1,0.0306,0.094,0.000116,0.0892,0.255,141.954,4,world-music
48,43676,False,0.964,0.169,0,-20.19,1,0.17,0.776,0.0604,0.0783,0.798,110.109,4,children
79,269373,False,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,4,alternative
36,127593,False,0.542,0.601,9,-9.094,1,0.196,0.675,0.0,0.586,0.569,97.979,4,samba
33,142200,False,0.57,0.547,10,-9.11,1,0.0283,0.669,2.01e-05,0.0849,0.714,115.146,4,rockabilly
0,155880,False,0.175,0.196,5,-18.02,0,0.0326,0.959,0.823,0.209,0.151,49.891,4,classical
0,341875,False,0.789,0.694,6,-5.781,0,0.0726,0.099,0.0,0.0962,0.549,96.032,4,electro
28,250560,False,0.465,0.61,7,-8.506,1,0.0319,0.358,0.0102,0.0689,0.716,174.783,4,bluegrass
8,291765,False,0.778,0.578,1,-15.692,1,0.109,8.19e-06,0.843,0.111,0.199,138.493,4,detroit-techno
64,229106,False,0.5,0.899,4,-4.066,1,0.0736,4.84e-05,0.000198,0.0794,0.566,130.06,4,metal
54,383000,False,0.816,0.543,7,-8.495,0,0.0468,0.205,0.00322,0.104,0.189,122.029,4,groove
0,221176,False,0.742,0.883,7,-2.862,1,0.118,0.0468,0.0,0.206,0.464,102.044,4,dancehall
23,285000,False,0.766,0.745,11,-5.208,0,0.289,0.12,0.0,0.0813,0.333,147.978,4,comedy
29,228920,False,0.34,0.377,2,-6.096,0,0.03,0.865,0.0,0.116,0.0625,75.478,4,show-tunes
4,93000,False,0.475,0.232,9,-15.271,1,0.0631,0.94,0.0077,0.25,0.848,162.884,3,classical
1,129332,False,0.798,0.625,4,-6.83,1,0.13,0.383,3.33e-05,0.125,0.774,92.994,4,reggaeton
39,184736,False,0.488,0.788,7,-4.311,1,0.0381,0.482,0.0,0.0506,0.8,176.116,4,forro
3,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,reggae
44,257146,False,0.428,0.3,11,-10.214,0,0.157,0.638,5.18e-05,0.0987,0.278,81.403,4,afrobeat
0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,hip-hop
39,194016,False,0.538,0.915,10,-5.886,0,0.0623,4.73e-05,0.00789,0.115,0.58,135.013,4,metal
0,185133,False,0.706,0.824,1,-7.036,1,0.133,0.0547,0.00162,0.0448,0.536,123.965,4,deep-house
53,205091,False,0.361,0.0383,11,-19.939,0,0.0364,0.807,0.809,0.101,0.0387,110.298,4,german
27,143506,False,0.576,0.313,2,-6.489,1,0.0265,0.853,0.0365,0.111,0.254,75.775,4,spanish
38,302093,False,0.593,0.583,5,-9.94,1,0.0429,0.00837,8.92e-05,0.225,0.96,163.819,4,mpb
46,342050,True,0.591,0.736,8,-7.059,1,0.0392,0.742,0.0,0.145,0.61,149.968,4,pagode
1,232013,False,0.602,0.785,6,-4.355,0,0.232,0.143,0.0,0.103,0.582,95.038,4,latin
39,271301,False,0.541,0.95,9,-4.388,1,0.109,0.00384,4.22e-05,0.0531,0.85,158.024,4,ska
53,285393,False,0.395,0.875,2,-4.613,0,0.0448,0.0725,0.116,0.225,0.0656,86.956,4,drum-and-bass
44,304346,False,0.602,0.178,2,-14.532,0,0.0569,0.992,0.921,0.0899,0.254,145.995,3,new-age
38,177200,False,0.157,0.985,10,-4.195,0,0.315,0.00453,0.056,0.155,0.411,177.08,4,hard-rock
0,163026,False,0.6,0.931,3,-4.607,1,0.106,0.111,0.0,0.0863,0.847,168.04,4,party
23,253666,False,0.637,0.601,5,-5.329,0,0.0361,0.271,0.0,0.141,0.541,128.046,4,groove
25,240226,False,0.699,0.761,9,-11.721,0,0.0327,0.0657,6.29e-06,0.337,0.935,138.643,4,synth-pop
15,250146,False,0.295,0.762,4,-5.476,1,0.0358,5.23e-05,0.0126,0.104,0.231,115.164,4,grindcore
11,219654,False,0.576,0.837,10,-5.99,0,0.121,0.0147,0.206,0.0699,0.343,110.002,4,breakbeat
43,503082,False,0.771,0.849,6,-7.241,0,0.0522,0.000847,0.768,0.0839,0.293,119.994,4,minimal-techno
40,249626,False,0.639,0.656,0,-9.428,1,0.0343,0.355,0.0,0.353,0.553,95.152,4,disco
46,83999,False,0.645,0.406,11,-11.286,0,0.0381,0.882,0.899,0.0887,0.226,120.006,4,anime
0,299127,False,0.301,0.971,1,-6.489,1,0.118,1.12e-05,0.604,0.134,0.0358,130.093,4,iranian
73,240133,False,0.436,0.934,2,-2.685,1,0.0507,1.03e-05,0.14,0.321,0.384,91.481,4,rock
11,223046,False,0.719,0.823,11,-9.629,0,0.179,0.0475,0.732,0.116,0.209,119.952,4,idm
80,183290,False,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,4,dance
39,226933,False,0.622,0.956,11,-3.422,0,0.053,2.95e-05,0.851,0.359,0.446,140.073,4,breakbeat
24,695090,False,0.472,0.834,5,-7.19,1,0.0495,0.0293,0.000514,0.696,0.142,90.032,4,goth
0,227520,True,0.807,0.606,3,-8.871,0,0.0872,0.0946,0.0,0.119,0.304,92.988,4,latin
59,177013,False,0.745,0.825,0,-5.413,1,0.0748,0.0697,0.0,0.168,0.744,99.98,4,house
13,298493,False,0.719,0.635,2,-14.655,1,0.0423,0.00936,0.677,0.189,0.654,121.064,4,detroit-techno
0,160346,False,0.506,0.717,7,-8.69,0,0.203,0.645,0.000292,0.115,0.233,159.811,4,chill
51,177780,False,0.754,0.828,1,-4.443,1,0.0355,0.0276,0.0266,0.0799,0.728,108.992,4,soul
64,181622,False,0.757,0.393,5,-7.942,1,0.212,0.788,0.000986,0.0501,0.715,77.985,4,chill
1,175021,False,0.428,0.414,7,-5.729,0,0.0403,0.897,0.0,0.238,0.508,79.108,4,jazz
44,160212,False,0.533,0.386,2,-11.851,1,0.0562,0.224,0.754,0.132,0.0631,93.939,4,guitar
13,204893,False,0.693,0.692,7,-6.622,1,0.0321,0.206,0.0,0.269,0.484,120.006,4,honky-tonk
42,262528,False,0.571,0.511,5,-5.953,1,0.0313,0.703,0.0,0.111,0.434,125.852,4,gospel
0,234546,False,0.792,0.804,3,-4.752,1,0.259,0.537,0.0,0.342,0.807,96.041,4,electro
24,369720,False,0.183,0.793,7,-4.01,1,0.0336,0.00197,0.00303,0.104,0.163,89.238,4,goth
49,409026,False,0.596,0.437,9,-11.855,1,0.0337,0.378,1.52e-05,0.139,0.446,108.721,4,k-pop
10,173933,False,0.625,0.672,1,-13.566,1,0.099,0.532,0.92,0.0977,0.902,99.992,4,idm
22,151133,False,0.315,0.275,5,-14.689,1,0.0428,0.984,0.834,0.105,0.162,137.67,4,new-age
0,240146,False,0.523,0.322,0,-8.957,1,0.0285,0.535,0.0,0.132,0.3,126.002,4,songwriter
28,285440,False,0.474,0.61,0,-7.526,1,0.217,0.144,1.96e-06,0.321,0.689,200.16,4,spanish
32,220733,False,0.429,0.314,0,-14.744,1,0.045,0.766,0.000177,0.704,0.278,136.118,3,cantopop
50,435506,False,0.137,0.987,2,-3.367,1,0.167,0.000106,0.000475,0.379,0.28,199.964,4,british
10,56226,False,0.456,0.334,7,-16.511,1,0.141,0.561,0.757,0.12,0.312,61.031,5,idm
38,261493,False,0.382,0.466,2,-8.1,1,0.0346,0.316,5.58e-06,0.311,0.142,74.894,4,gospel
55,201600,True,0.489,0.575,4,-6.948,0,0.0489,0.242,0.0,0.282,0.248,129.537,5,funk
62,180760,False,0.807,0.653,2,-6.308,1,0.0443,0.0349,9.08e-06,0.111,0.939,119.019,4,j-pop
54,66860,False,0.0,0.0146,1,-19.407,1,0.0,2.65e-06,0.831,0.31,0.0,0.0,0,sleep
65,199422,False,0.311,0.0173,9,-27.788,0,0.0348,0.927,0.964,0.0727,0.0658,95.985,3,german
39,308706,False,0.513,0.914,0,-3.631,1,0.0459,0.0965,0.0,0.767,0.412,93.958,4,forro
48,179118,False,0.625,0.818,3,-6.211,0,0.0499,0.0397,0.465,0.325,0.26,128.006,4,trance
45,271800,False,0.458,0.564,2,-7.693,1,0.036,0.384,0.0,0.247,0.147,181.949,4,mandopop
40,190813,False,0.608,0.593,7,-8.254,1,0.185,0.544,0.0,0.352,0.454,93.72,4,german
38,231853,False,0.45,0.933,8,-3.963,1,0.128,0.0115,0.00324,0.119,0.525,154.18,4,punk
18,293395,True,0.382,0.837,6,-7.76,1,0.0579,9.16e-05,0.0,0.113,0.0578,128.987,4,black-metal
23,268750,False,0.13,0.95,2,-5.367,1,0.225,0.00652,0.118,0.145,0.0477,199.532,4,death-metal
19,151092,True,0.831,0.677,0,-7.607,0,0.246,0.345,0.0,0.0965,0.469,97.993,4,j-dance
28,178746,False,0.761,0.916,10,-4.243,1,0.0445,0.0314,9.87e-05,0.153,0.535,135.957,4,children
60,225693,True,0.443,0.96,5,-3.153,0,0.102,0.000779,0.0,0.81,0.263,96.579,4,metalcore
40,241382,False,0.718,0.454,5,-9.036,1,0.069,0.483,0.0,0.103,0.514,123.976,4,swedish
3,90500,False,0.688,0.541,1,-10.899,1,0.217,0.178,0.127,0.252,0.731,102.736,4,dancehall
54,292960,False,0.639,0.64,0,-8.381,0,0.0321,0.167,0.00116,0.0937,0.366,84.987,4,k-pop
23,116254,False,0.594,0.953,6,-7.122,1,0.239,0.0161,0.0556,0.166,0.809,179.937,4,industrial
0,115506,False,0.369,0.499,6,-9.301,1,0.0448,0.829,1.75e-06,0.154,0.69,192.76,3,soul
42,457495,False,0.787,0.892,9,-5.379,0,0.0588,0.0936,0.0101,0.122,0.704,122.688,4,disco
57,409986,False,0.268,0.697,8,-5.886,1,0.0422,0.0212,4.58e-06,0.38,0.112,144.01,4,world-music
69,340400,False,0.2,0.639,7,-5.857,0,0.0365,0.00623,0.0459,0.125,0.17,166.013,4,metal
61,190000,True,0.664,0.38,6,-8.297,0,0.0625,0.0423,0.000537,0.122,0.236,144.045,4,soul
25,331571,False,0.245,0.938,5,-7.479,0,0.0735,2.76e-06,0.803,0.286,0.148,93.421,4,death-metal
45,176750,False,0.725,0.703,5,-4.948,1,0.0741,0.433,0.0,0.0632,0.561,82.051,4,indie
23,255500,False,0.422,0.997,5,-3.17,0,0.169,7.26e-05,0.0318,0.341,0.044,145.011,4,death-metal
38,238280,False,0.414,0.623,7,-7.802,0,0.0956,0.291,0.0,0.107,0.549,68.944,4,turkish
65,223636,False,0.544,0.917,1,-3.403,0,0.259,0.00313,0.0,0.26,0.686,176.068,4,pop-film
26,137053,False,0.713,0.639,10,-5.769,1,0.05,0.423,0.0,0.129,0.944,92.072,4,show-tunes
36,172773,False,0.668,0.974,9,-5.882,1,0.043,0.00265,0.000128,0.259,0.943,147.029,4,ska
69,142280,False,0.586,0.0907,1,-12.907,1,0.0384,0.985,0.0281,0.126,0.212,77.144,4,british
10,438000,False,0.331,0.597,3,-9.267,1,0.106,0.831,0.204,0.119,0.198,112.511,4,idm
0,198826,False,0.471,0.557,10,-9.696,1,0.0277,0.413,7.61e-06,0.267,0.26,127.164,4,rock-n-roll
51,189333,False,0.56,0.869,6,-4.587,0,0.0622,0.00214,4.06e-06,0.304,0.177,134.934,4,progressive-house
23,96293,True,0.255,0.977,11,-1.87,0,0.0975,1.65e-05,0.798,0.334,0.508,108.335,4,garage
38,211672,False,0.672,0.644,11,-9.063,1,0.236,0.795,0.0,0.146,0.549,148.135,4,acoustic
68,200240,False,0.512,0.97,8,-3.886,0,0.212,0.03,0.0,0.0994,0.427,94.952,4,grunge
23,254026,False,0.678,0.69,4,-7.615,1,0.19,0.00333,0.00078,0.0453,0.754,90.869,4,industrial
0,245333,False,0.498,0.432,9,-14.386,1,0.0345,0.688,0.0,0.136,0.365,135.015,3,r-n-b
