popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
21,256359,False,0.527,0.995,5,-1.54,0,0.267,0.0667,0.000956,0.0766,0.521,165.091,4,j-idol
40,212440,False,0.473,0.562,4,-12.418,1,0.0401,0.0561,2.58e-05,0.125,0.677,81.724,4,club
37,255200,False,0.623,0.489,5,-13.139,1,0.0365,0.651,0.0,0.109,0.566,137.986,4,samba
32,65625,False,0.538,0.742,10,-6.492,0,0.38,0.121,0.0,0.0886,0.813,125.558,3,trance
55,226889,False,0.519,0.827,4,-6.908,0,0.0451,0.038,0.911,0.177,0.0361,128.059,4,trance
25,120110,False,0.679,0.866,8,-9.691,1,0.0719,3.84e-05,0.755,0.956,0.0457,147.086,4,techno
0,182186,True,0.709,0.726,7,-7.129,1,0.0411,0.0977,0.0,0.301,0.405,92.014,4,hip-hop
74,222857,False,0.845,0.776,11,-3.098,0,0.0488,0.111,0.0321,0.0684,0.528,105.018,4,latino
0,170344,False,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921,4,chill
44,199026,True,0.663,0.579,7,-11.992,1,0.226,0.0664,0.0,0.245,0.592,99.957,4,turkish
57,160682,False,0.633,0.877,1,-5.182,1,0.0526,0.335,0.0,0.128,0.913,162.032,4,forro
17,94680,False,0.499,0.933,9,-4.22,0,0.0377,0.0425,0.928,0.288,0.977,126.508,4,club
31,322320,True,0.592,0.66,10,-10.45,0,0.23,0.00776,0.00571,0.142,0.358,178.119,4,hardcore
44,216841,False,0.421,0.107,6,-15.191,1,0.0335,0.948,0.0,0.0881,0.118,104.218,4,acoustic
0,808760,False,0.283,0.201,9,-16.649,0,0.0322,0.49,0.00248,0.13,0.149,149.531,4,new-age
45,151484,False,0.647,0.813,9,-5.076,1,0.0758,0.135,0.0,0.173,0.826,153.994,4,country
14,198537,False,0.722,0.806,8,-8.75,1,0.044,0.00909,0.77,0.0941,0.436,120.029,4,minimal-techno
0,388599,False,0.322,0.462,5,-7.776,1,0.0411,0.263,0.0,0.115,0.421,174.146,3,soul
0,232226,False,0.226,0.12,9,-15.102,1,0.0388,0.973,0.0003,0.0885,0.13,78.39,4,swedish
14,184573,False,0.624,0.874,2,-3.78,1,0.0334,0.119,3.07e-06,0.112,0.557,122.03,4,kids
51,243692,False,0.285,0.985,1,-1.494,0,0.185,0.000122,0.0,0.0704,0.193,130.011,4,dub
0,177186,False,0.236,0.94,11,-3.929,0,0.152,2.15e-05,0.124,0.154,0.223,151.296,4,blues
48,228750,False,0.278,0.638,7,-6.062,1,0.0448,0.0236,0.0,0.444,0.195,127.97,3,progressive-house
42,194383,False,0.417,0.851,5,-4.046,0,0.0544,0.0744,1.3e-05,0.135,0.368,73.032,4,dub
6,171880,True,0.709,0.56,4,-4.867,0,0.171,0.034,0.0,0.315,0.541,170.082,4,reggaeton
45,216266,False,0.544,0.782,4,-6.649,1,0.0463,0.224,0.0,0.195,0.82,176.041,4,british
45,142400,False,0.61,0.923,6,-3.578,0,0.0431,0.000234,0.88,0.299,0.393,150.031,4,electronic
44,197363,False,0.617,0.931,11,-5.321,0,0.0597,0.0615,2.7e-06,0.0673,0.943,160.006,4,ska
62,267000,False,0.589,0.696,8,-8.109,1,0.034,8.65e-05,3.43e-05,0.0779,0.938,129.833,4,industrial
0,143226,False,0.684,0.491,0,-7.655,1,0.0361,0.71,0.0,0.144,0.4,117.916,4,rock
53,158133,False,0.654,0.779,8,-9.172,1,0.046,0.116,0.27,0.331,0.444,125.999,4,groove
9,210106,False,0.63,0.758,7,-7.344,1,0.0256,0.00613,1.08e-05,0.299,0.918,104.257,4,kids
56,187293,False,0.356,0.625,1,-3.455,1,0.0317,0.219,0.0,0.107,0.293,165.902,4,punk-rock
62,165626,False,0.564,0.722,1,-5.59,0,0.124,0.162,0.0,0.0931,0.276,99.083,4,piano
56,373573,False,0.489,0.669,11,-10.788,0,0.0511,0.819,0.0206,0.281,0.713,149.928,4,k-pop
12,157920,False,0.48,0.13,8,-15.977,1,0.0289,0.548,0.000105,0.127,0.448,82.184,4,honky-tonk
14,63560,False,0.476,0.125,3,-15.758,1,0.0499,0.791,0.932,0.109,0.0425,117.654,4,french
45,168774,False,0.673,0.917,8,-1.377,1,0.102,0.114,0.0,0.598,0.469,127.022,4,sertanejo
46,190635,False,0.495,0.868,11,-3.326,0,0.11,0.00366,0.237,0.17,0.295,173.945,4,dubstep
36,219794,False,0.405,0.836,10,-4.673,0,0.121,0.00265,0.0,0.0836,0.777,167.015,4,hard-rock
13,253000,False,0.595,0.882,2,-6.739,0,0.0448,0.00478,0.0216,0.333,0.233,129.991,4,breakbeat
76,125666,False,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,4,psych-rock
32,154853,True,0.717,0.831,11,-3.878,0,0.203,0.000898,0.000185,0.854,0.821,83.986,4,club
45,198220,False,0.646,0.372,5,-9.889,1,0.0272,0.559,0.000493,0.199,0.35,129.012,4,folk
50,333546,False,0.376,0.364,9,-10.742,1,0.0347,0.817,0.0,0.794,0.389,179.995,4,brazil
51,156222,False,0.783,0.77,0,-5.978,0,0.166,0.0821,0.000128,0.0863,0.627,109.966,4,disco
0,341266,False,0.5,0.938,11,-2.897,0,0.0959,0.00103,0.361,0.773,0.0489,179.982,4,hardstyle
49,349785,True,0.825,0.742,0,-5.527,1,0.0347,0.694,0.000245,0.129,0.757,99.962,4,brazil
60,235813,False,0.47,0.801,9,-6.426,1,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,4,punk-rock
0,160293,False,0.497,0.374,10,-6.941,1,0.028,0.751,5.82e-05,0.118,0.235,66.785,4,j-pop
25,363026,False,0.668,0.683,1,-12.862,1,0.039,0.00544,0.897,0.626,0.675,122.47,4,industrial
2,258799,False,0.807,0.803,11,-4.156,1,0.126,0.6,0.0085,0.136,0.706,91.982,4,latin
41,163000,False,0.743,0.468,10,-9.216,0,0.0814,0.372,0.627,0.187,0.693,89.979,4,turkish
48,309533,False,0.573,0.56,7,-7.602,1,0.0358,0.722,0.0,0.348,0.25,129.81,4,brazil
3,156300,True,0.695,0.884,11,-1.953,0,0.172,0.106,0.0,0.134,0.803,100.088,4,dance
1,307909,False,0.753,0.788,9,-7.271,0,0.0383,0.126,1.07e-06,0.141,0.964,127.521,4,psych-rock
63,192536,False,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097,4,edm
32,215899,False,0.695,0.89,4,-2.157,0,0.0389,0.572,5.27e-06,0.103,0.893,173.172,4,salsa
29,213133,False,0.475,0.883,2,-5.265,1,0.0594,0.0133,0.0,0.196,0.687,179.902,4,grunge
34,277840,False,0.894,0.426,10,-6.192,0,0.0768,0.26,2.28e-05,0.0601,0.799,99.994,4,blues
59,317266,False,0.195,0.68,7,-6.497,1,0.0376,0.0242,2.11e-06,0.32,0.221,152.29,4,world-music
28,232093,False,0.42,0.941,2,-3.35,0,0.0549,2.25e-06,0.0349,0.468,0.223,125.014,4,metalcore
39,202666,False,0.377,0.701,9,-6.36,0,0.0773,0.0796,2.29e-05,0.089,0.539,137.995,4,turkish
0,172066,False,0.797,0.496,6,-10.054,1,0.0382,0.396,0.111,0.149,0.587,103.703,4,singer-songwriter
