popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
57,181662,False,0.737,0.976,11,-5.958,0,0.0561,0.0112,0.43,0.298,0.692,127.009,4,groove
2,170760,False,0.662,0.788,3,-4.55,0,0.205,0.0191,0.0,0.0559,0.711,179.876,4,latin
30,132422,False,0.445,0.237,4,-15.108,1,0.0414,0.96,0.883,0.114,0.338,141.063,4,guitar
20,118306,False,0.458,0.095,7,-25.634,1,0.0366,0.934,0.798,0.323,0.401,141.995,4,disney
1,171280,True,0.536,0.723,6,-4.761,0,0.268,0.0149,7.78e-05,0.0952,0.724,91.761,4,latin
23,227786,False,0.719,0.777,7,-5.225,0,0.0643,0.000561,9.4e-06,0.206,0.596,119.997,4,dancehall
20,364081,False,0.446,0.951,5,-3.797,1,0.198,0.00518,4.02e-06,0.17,0.191,146.872,4,hardstyle
38,220125,False,0.694,0.721,0,-6.02,0,0.0313,0.0823,0.0013,0.104,0.396,103.03,4,deep-house
16,215172,False,0.489,0.977,1,-0.938,1,0.0827,0.0386,0.027,0.291,0.155,116.011,5,drum-and-bass
24,234693,False,0.867,0.48,7,-12.132,1,0.35,0.254,0.0,0.0737,0.9,81.472,4,new-age
61,154773,True,0.817,0.534,10,-11.808,1,0.16,0.0341,0.0,0.069,0.47,116.013,5,sad
48,225976,False,0.727,0.564,9,-9.797,1,0.0567,0.707,0.0,0.104,0.616,97.008,4,indian
1,183866,False,0.412,0.601,2,-10.493,1,0.0536,0.000866,0.0455,0.321,0.49,114.543,4,goth
61,232533,False,0.484,0.545,10,-6.607,1,0.0485,0.2,0.0,0.188,0.575,114.989,4,pop-film
80,184153,False,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4,indie
22,151426,False,0.504,0.916,9,-4.845,1,0.0569,0.499,1.99e-05,0.286,0.701,148.193,4,bluegrass
47,359306,False,0.602,0.741,1,-3.308,0,0.0448,0.213,0.0,0.0861,0.571,120.024,4,gospel
33,332786,False,0.594,0.999,4,-0.527,1,0.0929,0.00654,0.932,0.311,0.111,139.904,4,industrial
31,277002,False,0.783,0.589,4,-13.208,0,0.0339,0.237,0.0,0.279,0.86,140.262,4,disco
56,313163,False,0.534,0.863,0,-4.616,1,0.0357,0.0152,0.0167,0.144,0.374,98.006,4,indie
28,204773,False,0.649,0.829,3,-7.438,1,0.0418,0.0618,0.0,0.0594,0.682,123.551,4,party
22,279073,False,0.574,0.515,9,-10.372,1,0.0275,0.58,0.0,0.339,0.64,98.057,3,rockabilly
36,250440,False,0.465,0.988,2,-2.888,1,0.074,0.00504,0.00166,0.313,0.665,171.981,4,j-rock
67,199967,False,0.655,0.89,5,-6.434,0,0.0611,0.101,0.0149,0.488,0.328,127.979,4,groove
42,296560,False,0.484,0.727,0,-6.107,1,0.0358,0.198,0.00204,0.107,0.216,120.066,4,metal
82,269000,False,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,4,alternative
32,193365,False,0.89,0.771,10,-5.197,0,0.0648,0.134,0.0,0.312,0.59,129.999,4,malay
23,189709,False,0.154,0.879,4,-5.583,0,0.103,0.000453,0.622,0.3,0.189,143.858,4,black-metal
57,285251,False,0.0863,0.201,4,-14.365,0,0.0355,0.915,0.943,0.113,0.0398,74.351,3,new-age
52,168346,False,0.471,0.977,9,-3.593,0,0.054,0.0435,0.0777,0.433,0.762,159.992,4,metal
47,443400,False,0.417,0.395,2,-9.227,1,0.029,0.78,0.0179,0.252,0.0811,137.78,4,world-music
67,213933,False,0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,4,metal
23,109000,False,0.619,0.53,6,-10.722,1,0.0295,0.585,0.265,0.274,0.0704,109.989,4,j-idol
68,235840,False,0.519,0.935,7,-5.656,0,0.0423,0.00454,0.0,0.0661,0.498,104.044,4,swedish
44,184120,False,0.509,0.674,6,-7.379,1,0.0383,0.253,0.0,0.732,0.159,75.066,4,brazil
49,138923,False,0.956,0.529,10,-8.766,1,0.0567,0.104,2.95e-05,0.11,0.802,129.925,4,children
43,214813,False,0.557,0.585,7,-6.753,1,0.0396,0.572,0.0,0.972,0.599,82.617,1,sertanejo
0,152913,False,0.677,0.744,10,-6.806,0,0.0296,0.0405,0.000153,0.074,0.631,124.077,4,electro
38,235240,False,0.483,0.954,2,-3.578,1,0.149,0.104,0.0,0.475,0.309,93.827,4,forro
0,165469,False,0.619,0.154,3,-14.302,1,0.239,0.993,0.111,0.184,0.238,76.526,3,romance
24,182880,False,0.67,0.472,2,-12.537,1,0.0318,0.72,0.0116,0.119,0.691,95.111,1,bluegrass
24,245000,False,0.634,0.588,9,-6.753,1,0.106,0.0575,0.00231,0.441,0.77,174.006,4,electronic
23,147813,True,0.572,0.953,0,-4.341,1,0.922,0.782,0.0,0.683,0.212,146.213,3,comedy
46,161741,False,0.663,0.664,6,-7.248,1,0.0424,0.819,0.0,0.36,0.907,151.994,4,pagode
25,239946,False,0.52,0.333,2,-13.237,1,0.0329,0.00322,0.00651,0.359,0.319,83.777,3,mandopop
18,181894,True,0.428,0.982,7,-1.764,1,0.529,0.0073,0.0063,0.389,0.119,189.91,4,happy
36,250124,False,0.632,0.371,5,-11.62,1,0.0269,0.575,0.0111,0.0785,0.445,81.996,4,singer-songwriter
17,290742,False,0.591,0.901,10,-4.578,0,0.0406,0.1,0.338,0.0749,0.55,87.486,4,drum-and-bass
23,238120,False,0.39,0.668,9,-8.397,1,0.0782,0.255,0.0118,0.514,0.894,139.986,4,bluegrass
25,248000,False,0.702,0.592,0,-5.148,1,0.0259,0.294,0.0,0.12,0.413,124.027,4,mandopop
32,216960,False,0.748,0.408,10,-10.864,1,0.278,0.355,0.000501,0.643,0.336,125.015,4,sad
0,291440,False,0.498,0.533,10,-7.337,1,0.0245,0.261,0.0471,0.314,0.288,96.459,3,j-rock
0,186661,False,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4,deep-house
11,67920,False,0.229,0.995,1,-4.231,1,0.198,1.31e-06,4.55e-05,0.478,0.0821,114.635,4,grindcore
50,208720,False,0.578,0.709,10,-8.099,1,0.0684,0.719,0.0,0.677,0.686,153.363,4,pagode
46,334400,False,0.517,0.873,1,-6.874,0,0.0349,0.00218,4.8e-05,0.95,0.246,133.982,4,gospel
34,141904,False,0.766,0.964,0,-3.465,1,0.134,0.0612,0.000334,0.191,0.612,125.984,4,progressive-house
13,157426,True,0.319,0.993,8,-4.993,1,0.136,1.47e-06,0.151,0.405,0.259,117.598,4,grindcore
29,187541,False,0.291,0.109,10,-20.775,0,0.043,0.986,0.884,0.12,0.229,108.154,3,piano
56,222920,False,0.334,0.506,1,-8.779,1,0.0281,0.2,0.862,0.228,0.183,83.803,4,garage
43,228925,False,0.377,0.71,5,-6.113,1,0.0524,0.399,0.0,0.201,0.255,143.079,4,indian
28,245625,False,0.402,0.661,2,-7.605,0,0.0829,0.243,0.207,0.126,0.303,191.959,4,electronic
33,208706,False,0.3,0.142,2,-17.209,1,0.033,0.922,0.875,0.0761,0.104,57.415,3,piano
48,115503,False,0.761,0.76,4,-6.579,1,0.0558,0.628,0.0,0.315,0.826,132.105,4,children
0,257493,False,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4,songwriter
52,444878,False,0.716,0.534,6,-9.327,1,0.0531,0.00729,0.74,0.0682,0.271,123.003,4,electronic
47,412800,False,0.698,0.641,5,-11.253,0,0.0397,0.323,0.826,0.114,0.262,125.012,4,progressive-house
53,125538,False,0.771,0.253,1,-13.368,1,0.182,0.7,0.0,0.0627,0.662,129.944,4,sad
15,154480,False,0.547,0.362,11,-9.767,1,0.0291,0.706,0.0,0.101,0.609,115.034,4,honky-tonk
0,183943,False,0.78,0.5,1,-9.785,1,0.0468,0.571,0.0,0.718,0.717,109.912,4,country
10,168426,False,0.491,0.269,4,-12.537,1,0.0286,0.927,2.74e-05,0.372,0.726,75.576,4,honky-tonk
35,151946,False,0.478,0.429,4,-10.607,1,0.0348,0.45,0.0,0.114,0.681,141.499,3,rock-n-roll
18,358820,False,0.674,0.923,10,-3.976,0,0.031,0.00126,0.486,0.0939,0.324,129.99,4,breakbeat
30,145635,False,0.534,0.128,7,-18.077,1,0.0539,0.984,0.895,0.118,0.288,105.385,4,guitar
36,1032359,False,0.449,0.623,6,-11.514,1,0.183,0.0955,1.88e-06,0.327,0.779,98.944,4,folk
76,212960,False,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,4,house
40,148026,False,0.739,0.784,5,-7.253,1,0.194,0.552,0.0,0.128,0.807,105.006,4,samba
77,142258,False,0.789,0.536,9,-5.422,0,0.0424,0.604,2.09e-06,0.088,0.877,124.029,4,k-pop
42,140572,False,0.673,0.183,10,-16.714,1,0.0432,0.97,0.88,0.137,0.597,79.295,4,study
